,precision,recall,f1-score,support
Erros transacionais,0.0,0.0,0.0,16.0
Serviços e produtos,0.35802469135802467,0.7435897435897436,0.4833333333333333,39.0
Erros de entrada e autenticação,0.5454545454545454,0.23076923076923078,0.3243243243243243,26.0
Usabilidade e acessibilidade,1.0,0.08695652173913043,0.16,23.0
Velocidade e desempenho,0.19444444444444445,0.5,0.28,14.0
Design visual e personalização,0.0,0.0,0.0,5.0
Funcionalidade e integração,0.0,0.0,0.0,6.0
Segurança,0.0,0.0,0.0,2.0
accuracy,0.33587786259541985,0.33587786259541985,0.33587786259541985,0.33587786259541985
macro avg,0.2622404601571268,0.1951644370122631,0.15595720720720718,131.0
weighted avg,0.4111984989847585,0.33587786259541985,0.2662781101712399,131.0
